#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  beta  1  2924169868.38
CI  beta  2  616817081.611
CI  beta  3  233933589.47
CI  beta  4  114225385.483
CI  beta  5  64451090.9765
CI  beta  6  39978884.9192
CI  beta  7  26523082.7064
CI  beta  8  18504512.4483
CI  beta  9  13425940.6262
CI  beta  10  10051833.9225
CI  beta  11  7721901.94593
CI  beta  12  6060938.82157
CI  beta  13  4844778.48015
CI  beta  14  3933782.40823
CI  beta  15  3237835.14838
CI  beta  16  2696988.26836
CI  beta  17  2270296.45965
CI  beta  18  1929139.84372
CI  beta  19  1653100.7227
CI  beta  20  1427345.31282
CI  beta  21  1240919.27596
CI  beta  22  1085613.16782
CI  beta  23  955191.972128
CI  beta  24  844862.318665
CI  beta  25  750897.941509
CI  beta  26  670372.386728
CI  beta  27  600965.607629
CI  beta  28  540822.23331
CI  beta  29  488446.478328
CI  beta  30  442623.368749
CI  beta  31  402359.094728
CI  beta  32  366835.418346
CI  beta  33  335374.516866
CI  beta  34  307411.648744
CI  beta  35  282473.736931
CI  beta  36  260162.466167
CI  beta  37  240140.851307
CI  beta  38  222122.494763
CI  beta  39  205862.942133
CI  beta  40  191152.685911
CI  beta  41  177811.472003
CI  beta  42  165683.642293
CI  beta  43  154634.305881
CI  beta  44  144546.176696
CI  beta  45  135316.949797
CI  beta  46  126857.115258
CI  beta  47  119088.129224
CI  beta  48  111940.877774
CI  beta  49  105354.38191
CI  beta  50  99274.7018924
CI  beta  51  93654.0070508
CI  beta  52  88449.7834849
CI  beta  53  83624.1570649
CI  beta  54  79143.3131972
CI  beta  55  74976.9980674
CI  beta  56  71098.08871
CI  beta  57  67482.2214005
CI  beta  58  64107.4696174
CI  beta  59  60954.064257
CI  beta  60  58004.1499646
CI  beta  61  55241.5724199
CI  beta  62  52651.6922226
CI  beta  63  50221.2216925
CI  beta  64  47938.0814594
CI  beta  65  45791.2741815
CI  beta  66  43770.773127
CI  beta  67  41867.423677
CI  beta  68  40072.8560894
CI  beta  69  38379.4080949
CI  beta  70  36780.0560967
CI  beta  71  35268.3539117
CI  beta  72  33838.3781361
CI  beta  73  32484.679341
CI  beta  74  31202.2384058
CI  beta  75  29986.4273903
CI  beta  76  28832.9744209
CI  beta  77  27737.9321328
CI  beta  78  26697.6492698
CI  beta  79  25708.745089
CI  beta  80  24768.0862634
CI  beta  81  23872.7660114
CI  beta  82  23020.0852144
CI  beta  83  22207.5353115
CI  beta  84  21432.7827863
CI  beta  85  20693.6550803
CI  beta  86  19988.1277871
CI  beta  87  19314.3129979
CI  beta  88  18670.4486833
CI  beta  89  18054.8890084
CI  beta  90  17466.0954909
CI  beta  91  16902.628919
CI  beta  92  16363.1419583
CI  beta  93  15846.3723803
CI  beta  94  15351.1368562
CI  beta  95  14876.3252622
CI  beta  96  14420.8954497
CI  beta  97  13983.8684383
CI  beta  98  13564.3239938
CI  beta  99  13161.3965554
CI  beta  100  12774.2714838
CI  beta  101  12402.1815998
CI  beta  102  12044.4039893
CI  beta  103  11700.2570521
CI  beta  104  11369.0977734
CI  beta  105  11050.319199
CI  beta  106  10743.3480978
CI  beta  107  10447.642796
CI  beta  108  10162.6911684
CI  beta  109  9888.00877516
CI  beta  110  9623.13713088
CI  beta  111  9367.64209688
CI  beta  112  9121.11238597
CI  beta  113  8883.15817137
CI  beta  114  8653.40979154
CI  beta  115  8431.51654361
CI  beta  116  8217.14555859
CI  beta  117  8009.98075222
CI  beta  118  7809.72184575
CI  beta  119  7616.08345154
CI  beta  120  7428.79421849
CI  beta  121  7247.59603322
CI  beta  122  7072.24327265
CI  beta  123  6902.50210453
CI  beta  124  6738.14983232
CI  beta  125  6578.97428134
CI  beta  126  6424.77322332
CI  beta  127  6275.35383666
CI  beta  128  6130.53219981
CI  beta  129  5990.13281573
CI  beta  130  5853.98816503
CI  beta  131  5721.93828612
CI  beta  132  5593.83038034
CI  beta  133  5469.51844053
CI  beta  134  5348.86290141
CI  beta  135  5231.73031048
CI  beta  136  5117.99301785
CI  beta  137  5007.52888406
CI  beta  138  4900.2210045
CI  beta  139  4795.95744954
CI  beta  140  4694.63101923
CI  beta  141  4596.1390118
CI  beta  142  4500.38300495
CI  beta  143  4407.26864928
CI  beta  144  4316.70547296
CI  beta  145  4228.6066971
CI  beta  146  4142.88906106
CI  beta  147  4059.47265715
CI  beta  148  3978.28077418
CI  beta  149  3899.23974922
CI  beta  150  3822.27882726
CI  beta  151  3747.33002811
CI  beta  152  3674.32802033
CI  beta  153  3603.21000152
CI  beta  154  3533.9155849
CI  beta  155  3466.38669159
CI  beta  156  3400.5674483
CI  beta  157  3336.40409031
CI  beta  158  3273.84486915
CI  beta  159  3212.83996494
CI  beta  160  3153.34140309
CI  beta  161  3095.30297501
CI  beta  162  3038.68016275
CI  beta  163  2983.43006725
CI  beta  164  2929.51134011
CI  beta  165  2876.88411854
CI  beta  166  2825.50996349
CI  beta  167  2775.35180068
CI  beta  168  2726.37386438
CI  beta  169  2678.54164382
CI  beta  170  2631.82183219
CI  beta  171  2586.18227785
CI  beta  172  2541.59193788
CI  beta  173  2498.02083373
CI  beta  174  2455.44000889
CI  beta  175  2413.82148847
CI  beta  176  2373.13824058
CI  beta  177  2333.36413946
