#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  gamma  1  3084085408.05
CI  gamma  2  690835131.404
CI  gamma  3  274140925.16
CI  gamma  4  138469140.77
CI  gamma  5  80186220.6094
CI  gamma  6  50766837.9927
CI  gamma  7  34239642.0813
CI  gamma  8  24213893.6996
CI  gamma  9  17768393.2974
CI  gamma  10  13431283.1972
CI  gamma  11  10403391.4928
CI  gamma  12  8224227.75481
CI  gamma  13  6615271.95515
CI  gamma  14  5401124.08161
CI  gamma  15  4467481.74335
CI  gamma  16  3737638.13303
CI  gamma  17  3158786.4387
CI  gamma  18  2693750.58737
CI  gamma  19  2315835.29187
CI  gamma  20  2005530.0196
CI  gamma  21  1748347.73699
CI  gamma  22  1533376.67891
CI  gamma  23  1352290.7797
CI  gamma  24  1198661.4526
CI  gamma  25  1067471.1943
CI  gamma  26  954764.741568
CI  gamma  27  857395.486098
CI  gamma  28  772838.833168
CI  gamma  29  699053.247218
CI  gamma  30  634375.694586
CI  gamma  31  577442.187236
CI  gamma  32  527126.842703
CI  gamma  33  482494.741253
CI  gamma  34  442765.161289
CI  gamma  35  407282.690554
CI  gamma  36  375494.363851
CI  gamma  37  346931.448386
CI  gamma  38  321194.839816
CI  gamma  39  297943.28299
CI  gamma  40  276883.817056
CI  gamma  41  257763.983151
CI  gamma  42  240365.437026
CI  gamma  43  224498.687845
CI  gamma  44  209998.74453
CI  gamma  45  196721.497222
CI  gamma  46  184540.697057
CI  gamma  47  173345.425199
CI  gamma  48  163037.963709
CI  gamma  49  153531.997867
CI  gamma  50  144751.092986
CI  gamma  51  136627.399442
CI  gamma  52  129100.548159
CI  gamma  53  122116.705588
CI  gamma  54  115627.762741
CI  gamma  55  109590.637234
CI  gamma  56  103966.670944
CI  gamma  57  98721.1087835
CI  gamma  58  93822.6464913
CI  gamma  59  89243.0373476
CI  gamma  60  84956.7492938
CI  gamma  61  80940.6653132
CI  gamma  62  77173.8210218
CI  gamma  63  73637.1743527
CI  gamma  64  70313.4029807
CI  gamma  65  67186.7257871
CI  gamma  66  64242.7451984
CI  gamma  67  61468.307695
CI  gamma  68  58851.3801663
CI  gamma  69  56380.9401147
CI  gamma  70  54046.8779886
CI  gamma  71  51839.9101559
CI  gamma  72  49751.5012328
CI  gamma  73  47773.79465
CI  gamma  74  45899.5504871
CI  gamma  75  44122.08973
CI  gamma  76  42435.2442141
CI  gamma  77  40833.3116094
CI  gamma  78  39311.0148822
CI  gamma  79  37863.46574
CI  gamma  80  36486.1316238
CI  gamma  81  35174.8058654
CI  gamma  82  33925.5806719
CI  gamma  83  32734.8226403
CI  gamma  84  31599.1505378
CI  gamma  85  30515.4151159
CI  gamma  86  29480.6807494
CI  gamma  87  28492.2087188
CI  gamma  88  27547.4419707
CI  gamma  89  26643.9912118
CI  gamma  90  25779.6222065
CI  gamma  91  24952.2441617
CI  gamma  92  24159.8990959
CI  gamma  93  23400.7520989
CI  gamma  94  22673.0823998
CI  gamma  95  21975.2751683
CI  gamma  96  21305.8139819
CI  gamma  97  20663.2738999
CI  gamma  98  20046.3150877
CI  gamma  99  19453.6769453
CI  gamma  100  18884.1726937
CI  gamma  101  18336.6843792
CI  gamma  102  17810.158262
CI  gamma  103  17303.6005528
CI  gamma  104  16816.0734717
CI  gamma  105  16346.6915985
CI  gamma  106  15894.6184942
CI  gamma  107  15459.063568
CI  gamma  108  15039.2791716
CI  gamma  109  14634.5579029
CI  gamma  110  14244.2301001
CI  gamma  111  13867.6615137
CI  gamma  112  13504.2511405
CI  gamma  113  13153.4292083
CI  gamma  114  12814.6552982
CI  gamma  115  12487.4165955
CI  gamma  116  12171.2262589
CI  gamma  117  11865.6218977
CI  gamma  118  11570.1641518
CI  gamma  119  11284.435364
CI  gamma  120  11008.0383393
CI  gamma  121  10740.5951851
CI  gamma  122  10481.7462253
CI  gamma  123  10231.1489842
CI  gamma  124  9988.47723401
CI  gamma  125  9753.42010297
CI  gamma  126  9525.68123834
CI  gamma  127  9304.97802145
CI  gamma  128  9091.04083075
CI  gamma  129  8883.61234982
CI  gamma  130  8682.44691706
CI  gamma  131  8487.30991444
CI  gamma  132  8297.97719256
CI  gamma  133  8114.23452972
CI  gamma  134  7935.87712269
CI  gamma  135  7762.70910705
CI  gamma  136  7594.54310534
CI  gamma  137  7431.19980107
CI  gamma  138  7272.50753702
CI  gamma  139  7118.30193624
CI  gamma  140  6968.42554432
CI  gamma  141  6822.72749166
CI  gamma  142  6681.06317438
CI  gamma  143  6543.29395282
CI  gamma  144  6409.28686652
CI  gamma  145  6278.9143646
CI  gamma  146  6152.05405071
CI  gamma  147  6028.58844168
CI  gamma  148  5908.40473888
CI  gamma  149  5791.39461178
CI  gamma  150  5677.45399281
CI  gamma  151  5566.48288289
CI  gamma  152  5458.38516707
CI  gamma  153  5353.06843968
CI  gamma  154  5250.44383833
CI  gamma  155  5150.42588646
CI  gamma  156  5052.93234374
CI  gamma  157  4957.88406402
CI  gamma  158  4865.20486038
CI  gamma  159  4774.8213768
CI  gamma  160  4686.66296625
CI  gamma  161  4600.66157461
CI  gamma  162  4516.75163041
CI  gamma  163  4434.86993971
CI  gamma  164  4354.95558619
CI  gamma  165  4276.94983595
CI  gamma  166  4200.79604677
CI  gamma  167  4126.43958178
CI  gamma  168  4053.8277271
CI  gamma  169  3982.90961329
CI  gamma  170  3913.63614057
CI  gamma  171  3845.95990735
CI  gamma  172  3779.83514211
CI  gamma  173  3715.21763839
CI  gamma  174  3652.06469271
CI  gamma  175  3590.33504524
CI  gamma  176  3529.98882327
CI  gamma  177  3470.987487
CI  gamma  178  3413.29377794
CI  gamma  179  3356.87166941
CI  gamma  180  3301.68631933
CI  gamma  181  3247.70402501
CI  gamma  182  3194.89217991
CI  gamma  183  3143.21923229
CI  gamma  184  3092.65464558
CI  gamma  185  3043.16886052
CI  gamma  186  2994.73325881
CI  gamma  187  2947.3201284
CI  gamma  188  2900.90263015
CI  gamma  189  2855.45476592
CI  gamma  190  2810.95134801
CI  gamma  191  2767.36796981
CI  gamma  192  2724.68097769
CI  gamma  193  2682.86744406
CI  gamma  194  2641.90514146
CI  gamma  195  2601.77251779
CI  gamma  196  2562.44867245
CI  gamma  197  2523.9133335
CI  gamma  198  2486.14683571
CI  gamma  199  2449.13009946
CI  gamma  200  2412.84461054
CI  gamma  201  2377.27240063
CI  gamma  202  2342.39602867
CI  gamma  203  2308.19856288
CI  gamma  204  2274.66356349
CI  gamma  205  2241.77506613
CI  gamma  206  2209.51756591
CI  gamma  207  2177.876002
CI  gamma  208  2146.83574292
CI  gamma  209  2116.3825723
CI  gamma  210  2086.50267521
CI  gamma  211  2057.182625
CI  gamma  212  2028.40937062
CI  gamma  213  2000.17022442
CI  gamma  214  1972.45285042
CI  gamma  215  1945.24525294
CI  gamma  216  1918.53576576
CI  gamma  217  1892.31304157
CI  gamma  218  1866.56604185
CI  gamma  219  1841.28402714
CI  gamma  220  1816.45654757
CI  gamma  221  1792.07343386
